BLOCKFACE_ID,street_name,supervisor_district,pm_district_id,meter_count,min_street_num,max_street_num,on_offstreet_majority,cap_color_majority,meter_type_majority,on_street_prop,off_street_prop,is_offstreet,citation_count,citation_rate_per_meter,log_rate
102021,02ND AVE,1,9.0,1,299.0,299.0,ON,Grey,SS,1.0,0.0,0,7,7.0,2.0794415416798357
102031,02ND AVE,1,9.0,5,389.0,397.0,ON,Grey,SS,1.0,0.0,0,73,14.6,2.747270914255491
102032,02ND AVE,1,9.0,5,390.0,398.0,ON,Grey,SS,1.0,0.0,0,64,12.8,2.624668592163159
102041,02ND AVE,1,9.0,2,401.0,403.0,ON,Grey,SS,1.0,0.0,0,11,5.5,1.8718021769015913
102042,02ND AVE,1,9.0,2,404.0,406.0,ON,Yellow,SS,1.0,0.0,0,5,2.5,1.252762968495368
103021,03RD AVE,1,9.0,6,287.0,299.0,ON,Grey,SS,1.0,0.0,0,38,6.333333333333333,1.992430164690206
103022,03RD AVE,1,9.0,3,294.0,298.0,ON,Yellow,SS,1.0,0.0,0,13,4.333333333333333,1.6739764335716716
103031,03RD AVE,1,9.0,1,303.0,303.0,ON,Grey,SS,1.0,0.0,0,9,9.0,2.302585092994046
103032,03RD AVE,1,9.0,7,306.0,318.0,ON,Grey,SS,1.0,0.0,0,59,8.428571428571429,2.243744592971112
103033,03RD AVE,1,9.0,5,387.0,395.0,ON,Grey,SS,1.0,0.0,0,38,7.6,2.151762203259462
103034,03RD AVE,1,9.0,2,396.0,398.0,ON,Yellow,SS,1.0,0.0,0,4,2.0,1.0986122886681098
103132,03RD AVE,7,24.0,10,,,ON,Grey,SS,1.0,0.0,0,0,0.0,0.0
104021,04TH AVE,1,9.0,9,281.0,297.0,ON,Grey,SS,1.0,0.0,0,117,13.0,2.6390573296152584
104022,04TH AVE,1,9.0,6,288.0,298.0,ON,Grey,SS,1.0,0.0,0,76,12.666666666666666,2.614959778036198
104031,04TH AVE,1,9.0,7,307.0,319.0,ON,Grey,SS,1.0,0.0,0,57,8.142857142857142,2.2129729343043585
104032,04TH AVE,1,9.0,1,304.0,304.0,ON,Grey,SS,1.0,0.0,0,7,7.0,2.0794415416798357
104033,04TH AVE,1,9.0,3,391.0,397.0,ON,Grey,SS,1.0,0.0,0,12,4.0,1.6094379124341003
104034,04TH AVE,1,9.0,3,392.0,398.0,ON,Grey,SS,1.0,0.0,0,11,3.6666666666666665,1.5404450409471488
104041,04TH AVE,1,9.0,4,401.0,419.0,ON,Grey,SS,1.0,0.0,0,33,8.25,2.224623551524334
104042,04TH AVE,1,9.0,4,404.0,422.0,ON,Grey,SS,1.0,0.0,0,30,7.5,2.1400661634962708
105021,05TH AVE,1,9.0,4,291.0,297.0,ON,Yellow,SS,1.0,0.0,0,29,7.25,2.1102132003465894
105022,05TH AVE,1,9.0,5,286.0,294.0,ON,Grey,SS,1.0,0.0,0,36,7.2,2.1041341542702074
105031,05TH AVE,1,9.0,1,303.0,303.0,ON,Grey,SS,1.0,0.0,0,5,5.0,1.791759469228055
105032,05TH AVE,1,9.0,4,304.0,310.0,ON,Grey,SS,1.0,0.0,0,23,5.75,1.9095425048844386
105033,05TH AVE,1,9.0,3,391.0,397.0,ON,Grey,SS,1.0,0.0,0,19,6.333333333333333,1.992430164690206
105041,05TH AVE,1,9.0,5,401.0,409.0,ON,Grey,SS,1.0,0.0,0,30,6.0,1.9459101490553132
105042,05TH AVE,1,9.0,5,402.0,412.0,ON,Grey,SS,1.0,0.0,0,36,7.2,2.1041341542702074
106021,06TH AVE,1,9.0,4,281.0,289.0,ON,Green,SS,1.0,0.0,0,17,4.25,1.6582280766035324
106031,06TH AVE,1,9.0,12,301.0,397.0,ON,Grey,SS,1.0,0.0,0,72,6.0,1.9459101490553132
106032,06TH AVE,1,9.0,6,302.0,398.0,ON,Grey,SS,1.0,0.0,0,68,11.333333333333334,2.512305623976115
