BLOCKFACE_ID,street_name,supervisor_district,pm_district_id,meter_count,min_street_num,max_street_num,on_offstreet_majority,cap_color_majority,meter_type_majority,on_street_prop,off_street_prop,is_offstreet,citation_count,citation_rate_per_meter,log_rate
102021,02ND AVE,1,9.0,1,299.0,299.0,ON,Grey,SS,1.0,0.0,0,14,14.0,2.70805020110221
102031,02ND AVE,1,9.0,5,389.0,397.0,ON,Grey,SS,1.0,0.0,0,38,7.6,2.151762203259462
102032,02ND AVE,1,9.0,5,390.0,398.0,ON,Grey,SS,1.0,0.0,0,49,9.8,2.379546134130174
102041,02ND AVE,1,9.0,2,401.0,403.0,ON,Grey,SS,1.0,0.0,0,11,5.5,1.8718021769015913
102042,02ND AVE,1,9.0,2,404.0,406.0,ON,Yellow,SS,1.0,0.0,0,5,2.5,1.252762968495368
103021,03RD AVE,1,9.0,6,287.0,299.0,ON,Grey,SS,1.0,0.0,0,42,7.0,2.0794415416798357
103022,03RD AVE,1,9.0,3,294.0,298.0,ON,Yellow,SS,1.0,0.0,0,11,3.6666666666666665,1.5404450409471488
103031,03RD AVE,1,9.0,1,303.0,303.0,ON,Grey,SS,1.0,0.0,0,10,10.0,2.3978952727983707
103032,03RD AVE,1,9.0,7,306.0,318.0,ON,Grey,SS,1.0,0.0,0,60,8.571428571428571,2.2587824703356527
103033,03RD AVE,1,9.0,5,387.0,395.0,ON,Grey,SS,1.0,0.0,0,59,11.8,2.5494451709255714
103034,03RD AVE,1,9.0,2,396.0,398.0,ON,Yellow,SS,1.0,0.0,0,10,5.0,1.791759469228055
103132,03RD AVE,7,24.0,10,1360.0,1382.0,ON,Grey,SS,1.0,0.0,0,91,9.1,2.312535423847214
104021,04TH AVE,1,9.0,9,281.0,297.0,ON,Grey,SS,1.0,0.0,0,132,14.666666666666666,2.751535313041949
104022,04TH AVE,1,9.0,6,288.0,298.0,ON,Grey,SS,1.0,0.0,0,65,10.833333333333334,2.4709204078132605
104031,04TH AVE,1,9.0,7,307.0,319.0,ON,Grey,SS,1.0,0.0,0,66,9.428571428571429,2.344549292093078
104032,04TH AVE,1,9.0,1,304.0,304.0,ON,Grey,SS,1.0,0.0,0,3,3.0,1.3862943611198906
104033,04TH AVE,1,9.0,3,391.0,397.0,ON,Grey,SS,1.0,0.0,0,8,2.6666666666666665,1.2992829841302609
104034,04TH AVE,1,9.0,3,392.0,398.0,ON,Grey,SS,1.0,0.0,0,12,4.0,1.6094379124341003
104041,04TH AVE,1,9.0,4,401.0,419.0,ON,Grey,SS,1.0,0.0,0,12,3.0,1.3862943611198906
104042,04TH AVE,1,9.0,4,404.0,422.0,ON,Grey,SS,1.0,0.0,0,6,1.5,0.9162907318741551
105021,05TH AVE,1,9.0,4,291.0,297.0,ON,Yellow,SS,1.0,0.0,0,23,5.75,1.9095425048844386
105022,05TH AVE,1,9.0,5,286.0,294.0,ON,Grey,SS,1.0,0.0,0,35,7.0,2.0794415416798357
105031,05TH AVE,1,9.0,1,303.0,303.0,ON,Grey,SS,1.0,0.0,0,5,5.0,1.791759469228055
105032,05TH AVE,1,9.0,4,304.0,310.0,ON,Grey,SS,1.0,0.0,0,39,9.75,2.3749057545736716
105033,05TH AVE,1,9.0,3,391.0,397.0,ON,Grey,SS,1.0,0.0,0,12,4.0,1.6094379124341003
105041,05TH AVE,1,9.0,5,401.0,409.0,ON,Grey,SS,1.0,0.0,0,9,1.8,1.0296194171811581
105042,05TH AVE,1,9.0,5,402.0,412.0,ON,Grey,SS,1.0,0.0,0,14,2.8,1.33500106673234
106021,06TH AVE,1,9.0,4,281.0,289.0,ON,Green,SS,1.0,0.0,0,33,8.25,2.224623551524334
106031,06TH AVE,1,9.0,12,301.0,397.0,ON,Grey,SS,1.0,0.0,0,69,5.75,1.9095425048844386
106032,06TH AVE,1,9.0,6,302.0,398.0,ON,Grey,SS,1.0,0.0,0,39,6.5,2.0149030205422647
107021,07TH AVE,1,9.0,6,287.0,299.0,ON,Grey,SS,1.0,0.0,0,51,8.5,2.2512917986064953
107022,07TH AVE,1,9.0,3,292.0,296.0,ON,Grey,SS,1.0,0.0,0,39,13.0,2.6390573296152584
107031,07TH AVE,1,9.0,5,301.0,309.0,ON,Grey,SS,1.0,0.0,0,62,12.4,2.5952547069568657
107032,07TH AVE,1,9.0,15,304.0,336.0,ON,Grey,SS,1.0,0.0,0,128,8.533333333333333,2.2547944291576973
